tare_purpose,logical_name,name_2022_1_1,name_2025_1,unit_2025_1,dtype_2025_1,status,note
Household,state_metro_median_income,,in.state_metro_median_income,,large_string,new,NEW in 2025.1. Cross-check only.
Heating equipment,heating_fuel,in.heating_fuel,in.heating_fuel,,large_string,confirmed,"Drives valid_fuel_heating and the baseline fuel-price lookup. 2025.1 enumerations add Wood and Other Fuel, which FUEL_MAPPING does not cover."
Heating equipment,heating_type_and_fuel,in.hvac_heating_type_and_fuel,in.hvac_heating_type_and_fuel,,large_string,confirmed,Checked against ALLOWED_TECHNOLOGIES['heating']. 2025.1 adds 'Electricity Electric Wall Furnace' and keeps the Wall/Floor Furnace and Shared Heating values that list excludes.
Heating equipment,heating_type,in.hvac_heating_type,in.hvac_heating_type,,large_string,confirmed,"Present in both but unread by TARE. Values are Ducted/Non-Ducted Heating and Ducted/Non-Ducted Heat Pump, so it identifies existing heat pumps without parsing a string."
Heating equipment,heating_efficiency,in.hvac_heating_efficiency,in.hvac_heating_efficiency,,large_string,confirmed,"Becomes base_heating_efficiency, the pm2 input for the heating replacement cost."
Heating equipment,has_ducts,in.hvac_has_ducts,in.hvac_has_ducts,,large_string,confirmed,Selects the REMDB ducted or non-ducted heat-pump row. Every 05 applicable home reads 'Yes'.
Heating equipment,shared_system,in.hvac_shared_efficiencies,in.hvac_shared_efficiencies,,large_string,confirmed,"Present in both, unread by TARE. Reads 'None' for every 05 applicable home."
Cooling equipment,cooling_type,in.hvac_cooling_type,in.hvac_cooling_type,,large_string,confirmed,"The only cooling filter, via ALLOWED_TECHNOLOGIES['cooling'] = Central AC and Room AC. Under 05, 6.73 percent of applicable homes read 'Ducted Heat Pump' and 8.11 percent read 'None'."
Cooling equipment,cooling_efficiency,in.hvac_cooling_efficiency,in.hvac_cooling_efficiency,,large_string,confirmed,"Becomes base_cooling_efficiency, the pm2 input for the cooling replacement cost."
Cooling equipment,cooling_partial_conditioning,in.hvac_cooling_partial_space_conditioning,in.hvac_cooling_partial_space_conditioning,,large_string,confirmed,"Present in both, unread by TARE. Under 05, 73.72 percent of applicable homes are 100 percent conditioned and 18.17 percent are partial."
Equipment size,size_heating_primary,out.params.size_heating_system_primary_k_btu_h,out.params.size_heating_system_primary..kbtu_per_hr,k_btu_h,double,renamed,Renamed. Read twice: from the baseline run as the replacement-cost size and from the upgrade run as the heat pump's own size.
Equipment size,size_cooling_primary,out.params.size_cooling_system_primary_k_btu_h,out.params.size_cooling_system_primary..kbtu_per_hr,k_btu_h,double,renamed,Renamed. Equals the heating size for 100 percent of 05 applicable rows.
Equipment size,size_heat_pump_backup,out.params.size_heat_pump_backup_primary_k_btu_h,out.params.size_heat_pump_backup_primary..kbtu_per_hr,k_btu_h,double,renamed,"Renamed. Exists in both releases but is commented out at process_euss_data.py:450. Positive on 100 percent of 05 applicable rows, mean 55.0 kBtu/h against 36.4 for the heat pump. This is the furnace size that decision D6 would price."
Equipment size,size_heating_secondary,out.params.size_heating_system_secondary_k_btu_h,out.params.size_heating_system_secondary..kbtu_per_hr,k_btu_h,double,renamed,Renamed. Commented out at process_euss_data.py:463. Relevant now that Alaska homes with secondary heating are in scope.
Equipment size,size_water_heater,out.params.size_water_heater_gal,out.params.size_water_heater..gal,gal,double,renamed,Renamed. Read only on the inactive water-heating code path.
Equipment size,capacity_heating_design,,out.capacity.heating..btu_per_hr,btu_h,double,new,"NEW in 2025.1. The guide's proposed fallback if out.params.size_* were absent; they are present, so this is an alternative rather than a substitute."
Equipment size,capacity_cooling_design,,out.capacity.cooling..btu_per_hr,btu_h,double,new,NEW in 2025.1. Alternative source.
Equipment size,capacity_backup_design,,out.capacity.heat_pump_backup..btu_per_hr,btu_h,double,new,NEW in 2025.1. Alternative source for the backup furnace size.
Retrofit spec,upgrade_heating_efficiency,upgrade.hvac_heating_efficiency,upgrade.hvac_heating_efficiency,,large_string,confirmed,"Under 05 this is one of exactly two dual-fuel option strings. The MP3 ENERGY STAR replace at process_euss_data.py:478 would corrupt it, and the REMDB pm2 parse takes the first number, which is SEER2 15.2 not a SEER1 value."
Retrofit spec,upgrade_cooling_efficiency,upgrade.hvac_cooling_efficiency,upgrade.hvac_cooling_efficiency,,large_string,confirmed,"Reads 'Ducted Heat Pump' for every 05 and 04 applicable row, with no number to parse."
Retrofit spec,upgrade_heating_fuel,,upgrade.heating_fuel,,large_string,new,"Present but unusable: None on all 549,971 rows under both 05 and 04. Derive the post-retrofit fuel mix from the option string plus the measured end-use split instead."
Retrofit spec,upgrade_heating_type_and_fuel,,upgrade.hvac_heating_type_and_fuel,,large_string,new,"Present but unusable: None on all rows under 05 and 04, same known issue."
Retrofit spec,upgrade_cooling_partial_conditioning,,upgrade.hvac_cooling_partial_space_conditioning,,large_string,new,"NEW in 2025.1. Records the post-upgrade conditioned share, which bears on decision D4."
Retrofit spec,upgrade_water_heater_efficiency,upgrade.water_heater_efficiency,upgrade.water_heater_efficiency,,large_string,confirmed,Present in both. Read only on the inactive water-heating path; in 2022 it exists only in the upgrade07 and higher files.
Retrofit spec,upgrade_clothes_dryer,upgrade.clothes_dryer,,,,missing,"MISSING in 2025.1: no upgrade.clothes_dryer column exists. Read at process_euss_data.py:520 on the inactive clothes-drying path. No fallback is needed while that category stays out of EQUIPMENT_SPECS; if it is ever reactivated, use the 2025.1 dryer end-use columns to infer the change."
Retrofit spec,upgrade_cooking_range,upgrade.cooking_range,,,,missing,"MISSING in 2025.1: no upgrade.cooking_range column exists. Read at process_euss_data.py:525 from the upgrade07 frame. Same fallback as the dryer: leave the category inactive, or infer from the range end-use columns."
Heating energy,heating_electricity,out.electricity.heating.energy_consumption.kwh,out.electricity.heating.energy_consumption..kwh,kWh,double,renamed,Renamed with the double-dot unit suffix. Read for both baseline and retrofit; under 05 it is only 15 percent of heating site energy.
Heating energy,heating_natural_gas,out.natural_gas.heating.energy_consumption.kwh,out.natural_gas.heating.energy_consumption..kwh,kWh,double,renamed,"Renamed. Baseline only in TARE. Under 05 it is non-zero on just 7 rdu, all Alaska homes, so it is NOT where the dual-fuel furnace gas lands."
Heating energy,heating_propane,out.propane.heating.energy_consumption.kwh,out.propane.heating.energy_consumption..kwh,kWh,double,renamed,Renamed. Baseline only.
Heating energy,heating_fuel_oil,out.fuel_oil.heating.energy_consumption.kwh,out.fuel_oil.heating.energy_consumption..kwh,kWh,double,renamed,Renamed. Baseline only.
Heating energy,heating_fans_pumps,out.electricity.heating_fans_pumps.energy_consumption.kwh,out.electricity.heating_fans_pumps.energy_consumption..kwh,kWh,double,renamed,"Renamed. Read by the KPI loader only, never by the TARE fuel-cost path. Worth 10.51 TWh under 05."
Heating energy,heating_hp_backup_electricity,out.electricity.heating_hp_bkup.energy_consumption.kwh,out.electricity.heating_hp_bkup.energy_consumption..kwh,kWh,double,renamed,"Renamed. Measured exactly zero on every 05 applicable row, as expected for a gas-backup system."
Heating energy,heating_hp_backup_fans,,out.electricity.heating_hp_bkup_fa.energy_consumption..kwh,kWh,double,new,"NEW in 2025.1. The guide's guessed name ending '_fans_pumps' exists in neither release, and 2022.1.1 has no heat-pump backup fan column at all. Worth 17.40 TWh under 05."
Heating energy,heating_hp_backup_natural_gas,out.natural_gas.heating_hp_bkup.energy_consumption.kwh,out.natural_gas.heating_hp_bkup.energy_consumption..kwh,kWh,double,renamed,"Renamed, NOT new: the column exists in 2022.1.1 but is identically zero there in baseline, upgrade03 and upgrade04, because no 2022 package had a fossil backup. Load-bearing here: this is where the dual-fuel furnace gas lands. Non-zero on 220,502 of 245,570 applicable rdu (89.79 percent), mean 10,016 kWh, 624.50 TWh weighted, which is 81 percent of heating site energy under 05. Not listed in data_dictionary.tsv; confirmed from the parquet schema and Column Name Crosswalk row 468."
Heating energy,heating_hp_backup_propane,out.propane.heating_hp_bkup.energy_consumption.kwh,out.propane.heating_hp_bkup.energy_consumption..kwh,kwh,double,renamed,"Renamed, not new; zero in 2022.1.1 as well. Zero on every 05 applicable row because propane baselines switch to gas backup. Absent from data_dictionary.tsv."
Heating energy,heating_hp_backup_fuel_oil,out.fuel_oil.heating_hp_bkup.energy_consumption.kwh,out.fuel_oil.heating_hp_bkup.energy_consumption..kwh,kwh,double,renamed,"Renamed, not new; zero in 2022.1.1 as well. Zero on every 05 applicable row because fuel-oil baselines switch to gas backup. Absent from data_dictionary.tsv."
Cooling energy,cooling_electricity,out.electricity.cooling.energy_consumption.kwh,out.electricity.cooling.energy_consumption..kwh,kWh,double,renamed,Renamed. Read for both baseline and retrofit cooling.
Cooling energy,cooling_fans_pumps,out.electricity.cooling_fans_pumps.energy_consumption.kwh,out.electricity.cooling_fans_pumps.energy_consumption..kwh,kWh,double,renamed,Renamed. Present in both releases and read by TARE in neither. Listed because the guide names it.
Whole-home energy,site_energy_total,out.site_energy.total.energy_consumption.kwh,out.site_energy.total.energy_consumption..kwh,kWh,double,renamed,Renamed. The denominator of the HOMES modeled-savings fraction.
Whole-home energy,electricity_total,out.electricity.total.energy_consumption.kwh,out.electricity.total.energy_consumption..kwh,kWh,double,renamed,"Renamed. Used for the demand-change KPI, not for site energy."
Whole-home energy,heating_load_delivered,out.load.heating.energy_delivered.kbtu,out.load.heating.energy_delivered..kbtu,kBtu,double,renamed,Renamed. Thermal COP denominator in the KPI path.
Peak pass-through,peak_electricity_heating,out.electricity.peak_when_heating.kw,out.qoi.electricity.maximum_daily_peak_winter..kw,kw,double,renamed,"Renamed. Both releases give a per-home absolute maximum peak in kW that is not time-aligned across homes; only the season term differs (heating versus winter). Caveat to carry: the 2022 column is conditioned on the end use running and reads 0 for 25,943 rdu, while the 2025 column is conditioned on the calendar season and reads 0 for only 22 rdu."
Peak pass-through,peak_electricity_cooling,out.electricity.peak_when_cooling.kw,out.qoi.electricity.maximum_daily_peak_summer..kw,kw,double,renamed,"Renamed, same reasoning as the heating peak. The conditioning gap is wider here: the 2022 column reads 0 for 88,401 rdu with no cooling, the 2025 column for only 39 rdu."
Peak pass-through,peak_electricity_heating_savings,out.electricity.peak_when_heating.kw.savings,out.qoi.electricity.maximum_daily_peak_savings_winter..kw,kw,double,renamed,"Renamed. The 2025.1 description reads 'Reduction on the maximum value in Dec/Jan/Feb', so the sign convention matches the 2022 savings column."
Peak pass-through,peak_electricity_cooling_savings,out.electricity.peak_when_cooling.kw.savings,out.qoi.electricity.maximum_daily_peak_savings_summer..kw,kw,double,renamed,"Renamed, same reasoning as the heating peak savings."
Peak pass-through,peak_load_heating,out.load.heating.peak.kbtu_hr,out.load.heating.peak..kbtu_per_hr,kbtu_hr,double,renamed,Renamed; a true drop-in.
Peak pass-through,peak_load_cooling,out.load.cooling.peak.kbtu_hr,out.load.cooling.peak..kbtu_per_hr,kbtu_hr,double,renamed,Renamed; a true drop-in.
Peak pass-through,peak_load_heating_savings,out.load.heating.peak.kbtu_hr.savings,out.load.heating.peak_savings..kbtu_per_hr,kbtu_hr,double,renamed,Renamed: the savings token moved before the unit suffix.
Peak pass-through,peak_load_cooling_savings,out.load.cooling.peak.kbtu_hr.savings,out.load.cooling.peak_savings..kbtu_per_hr,kbtu_hr,double,renamed,Renamed: same pattern as the heating peak savings.
Water heating (inactive),water_heater_fuel,in.water_heater_fuel,in.water_heater_fuel,,large_string,confirmed,"Category is commented out of EQUIPMENT_SPECS, so this code path is dead."
Water heating (inactive),water_heater_efficiency,in.water_heater_efficiency,in.water_heater_efficiency,,large_string,confirmed,Dead code path.
Water heating (inactive),water_heater_in_unit,in.water_heater_in_unit,in.water_heater_in_unit,,large_string,confirmed,Dead code path.
Water heating (inactive),hot_water_electricity,out.electricity.hot_water.energy_consumption.kwh,out.electricity.hot_water.energy_consumption..kwh,kWh,double,renamed,Renamed. Dead code path.
Water heating (inactive),hot_water_natural_gas,out.natural_gas.hot_water.energy_consumption.kwh,out.natural_gas.hot_water.energy_consumption..kwh,kWh,double,renamed,Renamed. Dead code path.
Water heating (inactive),hot_water_propane,out.propane.hot_water.energy_consumption.kwh,out.propane.hot_water.energy_consumption..kwh,kWh,double,renamed,Renamed. Dead code path.
Water heating (inactive),hot_water_fuel_oil,out.fuel_oil.hot_water.energy_consumption.kwh,out.fuel_oil.hot_water.energy_consumption..kwh,kWh,double,renamed,Renamed. Dead code path.
Clothes drying (inactive),clothes_dryer_type,in.clothes_dryer,in.clothes_dryer,,large_string,confirmed,Still read at process_euss_data.py:202 by preprocess_fuel_data even though the category is inactive.
Clothes drying (inactive),clothes_dryer_electricity,out.electricity.clothes_dryer.energy_consumption.kwh,out.electricity.clothes_dryer.energy_consumption..kwh,kWh,double,renamed,Renamed. Dead code path.
Clothes drying (inactive),clothes_dryer_natural_gas,out.natural_gas.clothes_dryer.energy_consumption.kwh,out.natural_gas.clothes_dryer.energy_consumption..kwh,kWh,double,renamed,Renamed. Dead code path.
Clothes drying (inactive),clothes_dryer_propane,out.propane.clothes_dryer.energy_consumption.kwh,out.propane.clothes_dryer.energy_consumption..kwh,kWh,double,renamed,Renamed. Dead code path.
Cooking (inactive),cooking_range_type,in.cooking_range,in.cooking_range,,large_string,confirmed,Still read at process_euss_data.py:203 by preprocess_fuel_data.
Cooking (inactive),cooking_electricity,out.electricity.range_oven.energy_consumption.kwh,out.electricity.range_oven.energy_consumption..kwh,kWh,double,renamed,Renamed. Dead code path.
Cooking (inactive),cooking_natural_gas,out.natural_gas.range_oven.energy_consumption.kwh,out.natural_gas.range_oven.energy_consumption..kwh,kWh,double,renamed,Renamed. Dead code path.
Cooking (inactive),cooking_propane,out.propane.range_oven.energy_consumption.kwh,out.propane.range_oven.energy_consumption..kwh,kWh,double,renamed,Renamed. Dead code path.
Enclosure (inactive),insulation_ceiling,in.insulation_ceiling,in.insulation_ceiling,,large_string,confirmed,MP9 and MP10 only; those packages are out of VALID_MENU_MPS.
Enclosure (inactive),upgrade_insulation_ceiling,upgrade.insulation_ceiling,upgrade.insulation_ceiling,,large_string,confirmed,MP9/MP10 path; in 2022 the column exists only in the upgrade09 and upgrade10 files.
Enclosure (inactive),floor_area_attic,out.params.floor_area_attic_ft_2,out.params.floor_area_attic..ft2,ft2,double,renamed,Renamed. MP9/MP10 path.
Enclosure (inactive),upgrade_infiltration_reduction,upgrade.infiltration_reduction,upgrade.infiltration_reduction,,large_string,confirmed,MP9/MP10 path.
Enclosure (inactive),ducts_baseline,in.ducts,,,,missing,MISSING in 2025.1: in.ducts is gone. Read at process_euss_data.py:542 on the MP9/MP10 path. Closest replacements are in.duct_leakage_and_insulation and in.duct_location.
Enclosure (inactive),upgrade_ducts,upgrade.ducts,,,,missing,MISSING in 2025.1: no upgrade.ducts column. Read at process_euss_data.py:543 on the MP9/MP10 path. The 2025.1 equivalent is upgrade.duct_leakage_and_insulation.
Enclosure (inactive),duct_unconditioned_area,out.params.duct_unconditioned_surface_area_ft_2,out.params.duct_unconditioned_surface_area..ft2,ft2,double,renamed,Renamed. MP9/MP10 path.
Enclosure (inactive),insulation_wall,in.insulation_wall,in.insulation_wall,,large_string,confirmed,MP9/MP10 path.
Enclosure (inactive),upgrade_insulation_wall,upgrade.insulation_wall,upgrade.insulation_wall,,large_string,confirmed,MP9/MP10 path.
Enclosure (inactive),wall_area_above_grade,out.params.wall_area_above_grade_exterior_ft_2,out.params.wall_area_above_grade_exterior..ft2,ft2,double,renamed,Renamed. MP9/MP10 path.
Enclosure (inactive),foundation_type,in.geometry_foundation_type,in.geometry_foundation_type,,large_string,confirmed,MP10 path.
Enclosure (inactive),insulation_foundation_wall,in.insulation_foundation_wall,in.insulation_foundation_wall,,large_string,confirmed,MP10 path.
Enclosure (inactive),insulation_rim_joist,in.insulation_rim_joist,in.insulation_rim_joist,,large_string,confirmed,MP10 path.
Enclosure (inactive),upgrade_insulation_foundation_wall,upgrade.insulation_foundation_wall,,,,missing,"MISSING in 2025.1: no such upgrade column. Read at process_euss_data.py:573 on the MP10 path. No 2025.1 package upgrades foundation insulation, so leave MP10 inactive rather than substituting."
Enclosure (inactive),floor_area_foundation,out.params.floor_area_foundation_ft_2,out.params.floor_area_foundation..ft2,ft2,double,renamed,Renamed. MP10 path.
Enclosure (inactive),rim_joist_area,out.params.rim_joist_area_above_grade_exterior_ft_2,out.params.rim_joist_area_above_grade_exterior..ft2,ft2,double,renamed,Renamed. MP10 path.
Enclosure (inactive),upgrade_seal_crawlspace,upgrade.geometry_foundation_type,,,,missing,MISSING in 2025.1: no such upgrade column. Read at process_euss_data.py:577 on the MP10 path. Same handling as the foundation-wall upgrade.
Enclosure (inactive),insulation_roof,in.insulation_roof,in.insulation_roof,,large_string,confirmed,MP10 path.
Enclosure (inactive),upgrade_insulation_roof,upgrade.insulation_roof,,,,missing,MISSING in 2025.1: no such upgrade column. Read at process_euss_data.py:579 on the MP10 path. Same handling as the other MP10 enclosure upgrade columns.
Enclosure (inactive),roof_area,out.params.roof_area_ft_2,out.params.roof_area..ft2,ft2,double,renamed,Renamed. MP10 path.
Electric panel (new),panel_service_rating,,in.electric_panel_service_rating..a,amp,double,new,NEW in 2025.1. The guide's name omitted the unit suffix. Bears on decision D7.
Electric panel (new),panel_breaker_space_total,,in.electric_panel_breaker_space_total_count,count,double,new,NEW in 2025.1. Baseline breaker-space count.
Electric panel (new),panel_constraint_overall,,out.params.panel_constraint_overall.2023_nec_existing_dwelling_load_based,categorical,large_string,new,NEW in 2025.1. Post-upgrade constraint label; the reporting column decision D7's recommended default would carry.
Electric panel (new),panel_constraint_capacity,,out.params.panel_constraint_capacity.2023_nec_existing_dwelling_load_based,bool,bool,new,NEW in 2025.1. Boolean capacity constraint.
Electric panel (new),panel_constraint_breaker_space,,out.params.panel_constraint_breaker_space,bool,bool,new,NEW in 2025.1. Boolean breaker-space constraint.
Utility bills (new),utility_bill_total,,out.utility_bills.total_bill..usd,usd,double,new,NEW in 2025.1. Cross-check only; TARE prices its own fuel costs from EIA data. Per-fuel bill columns also exist.
Utility bills (new),utility_bill_electricity,,out.utility_bills.electricity_bill..usd,usd,double,new,NEW in 2025.1. Cross-check only.
Utility bills (new),utility_bill_natural_gas,,out.utility_bills.natural_gas_bill..usd,usd,double,new,NEW in 2025.1. Cross-check only.
